,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
149,2023-07-07 11:44:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,216.9,217.5,215.2,216.55,12500,2012300,149
150,2023-07-07 11:45:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,217,218.6,216.25,218.6,5200,2012300,150
151,2023-07-07 11:46:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,217.75,220.35,216.8,220.35,8150,2012300,151
152,2023-07-07 11:47:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,220.65,222,218.45,219.1,19800,2009200,152
153,2023-07-07 11:48:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,218.95,220,216.75,216.75,15750,2009200,153
154,2023-07-07 11:49:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,216.05,216.85,214.85,216.2,10500,2009200,154
155,2023-07-07 11:50:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,216.05,217.2,213.2,214.45,10600,2009950,155
156,2023-07-07 11:51:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,214.8,215.5,211.55,214.3,10800,2009950,156
157,2023-07-07 11:52:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215.5,217.25,214.3,217.25,14200,2009950,157
158,2023-07-07 11:53:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,217.7,217.7,214.15,214.15,6450,2003750,158
159,2023-07-07 11:54:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,213.4,214.25,212.65,212.95,6750,2003750,159
160,2023-07-07 11:55:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,213.4,214.5,210.95,211.1,9350,2003750,160
161,2023-07-07 11:56:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,211.1,214.5,210.3,214.15,9850,2005200,161
162,2023-07-07 11:57:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,213.75,215.3,213.55,213.55,6100,2005200,162
163,2023-07-07 11:58:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,214.6,215.6,214.3,215.4,14800,2005200,163
164,2023-07-07 11:59:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,215.9,220,215.35,220,4950,1998500,164
165,2023-07-07 12:00:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,219.65,228.35,219.65,227.9,56200,1998500,165
166,2023-07-07 12:01:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,226,227.45,223,227,17100,1998500,166
167,2023-07-07 12:02:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,226.25,228.55,225.75,228,23200,1979600,167
168,2023-07-07 12:03:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,227.3,228.25,226.55,226.55,8550,1979600,168
169,2023-07-07 12:04:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,226.8,230,226.75,230,59300,1979600,169
170,2023-07-07 12:05:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,231,231.45,224.05,224.05,16350,1974900,170
171,2023-07-07 12:06:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,223.55,225.1,223.55,224.05,29450,1974900,171
172,2023-07-07 12:07:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,224.25,224.25,222,222.45,13200,1974900,172
173,2023-07-07 12:08:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,222.9,223.6,220.3,223.5,14100,1984100,173
174,2023-07-07 12:09:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,224.1,225.65,223.2,224.75,16300,1984100,174
175,2023-07-07 12:10:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,224.5,224.5,220.95,224.4,26100,1984100,175
176,2023-07-07 12:11:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,224.1,224.6,221.45,221.6,7150,1988050,176
177,2023-07-07 12:12:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,221.4,223.95,221.05,221.6,24350,1988050,177
