"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11630","NTPC","EQ","NTPC LIMITED",0.01,1,"","",0,10,"INE733E01010",226.65,152.6,242.29,58.33,"","","",0,0,0,242.1,198.1,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NTPC"
"11637","SALSTE","BE","SAL STEEL LTD",0.01,1,"","",0,10,"INE658G01014",23.3,8,33.5,0.95,"","","",0,0,0,18.5,16.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SALSTEEL"
"1164","NEWSOF","EQ","NEWGEN SOFTWARE TECHNOLOGIES",0.01,1,"","",0,10,"INE619B01017",869.5,299.95,869.5,96,"","","",0,0,0,979,652.7,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NEWGEN"
"11647","KOTSUG","EQ","KOTHARI SUGAR & CHEMICALS",0.01,1,"","",0,10,"INE419A01022",52.95,32.4,144,0.1,"","","",0,0,0,54.05,36.05,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KOTARISUG"
"11654","DRLAL","EQ","DR. LAL PATHLABS LIMITED",0.01,1,"","",0,10,"INE600L01024",2750,1762.05,4245.5,696.5,"","","",0,0,0,2557.85,2092.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LALPATHLAB"
"11655","JBMAUT","EQ","JBM AUTO LIMITED",0.01,1,"","",0,2,"INE927D01044",1539.6,361,1539.6,1.33,"","","",0,0,0,1609.4,1073,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JBMA"
"11658","NHAN21","N1","7.9% National High NHIT Oct 35",0.01,1,"","",0,300,"INE0H7R07017",0,0,318.79,298.21,"","","",0,0,0,374.72,249.81,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NHIT"
"11662","BCPOW","EQ","B.C. POWER CONTROLS LIMITED",0.01,1,"","",0,2,"INE905P01028",6.5,3.35,0,0,"","","",0,0,0,5.3,3.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BCP"
"11665","NHAN22","N2","7.9% National High NHIT Oct 40",0.01,1,"","",0,300,"INE0H7R07025",0,0,320.21,298.66,"","","",0,0,0,377.64,251.76,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NHIT"
"11667","DWASUG","EQ","DWARIKESH SUGAR INDUSTRIES LTD",0.01,1,"","",0,1,"INE366A01041",114.95,75,148.45,1.41,"","","",0,0,0,109.35,72.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DWARKESH"
